brand,model,processor,ram,memory,os,display_size,price,star_rating,ratings
Hp,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,576.8879999999999,4.2,1090
Dell,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,570.6999999999999,0.0,0
Dell,INSPIRON,Intel Core i3,4GB,256GB SSD,Windows,Missing,606.97,0.0,0
Lenovo,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,532.87,5.0,1
Dell,Inspiron,Intel Core i3,4GB,256GB SSD,Windows,Missing,519.87,4.0,44
Lenovo,V15,Intel Core i3,4GB,256GB SSD,Windows,Missing,571.87,0.0,0
Asus,VivoBook,Intel Core i3,4GB,256GB SSD,Windows,Missing,480.87,4.5,70
Dell,Missing,Intel Core i3,8GB,256GB SSD,Windows,15.6,630.5,0.0,0
Asus,VivoBook,Intel Core i3,8GB,256GB SSD,Windows,15.6,636.87,0.0,0
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,305.37,4.2,632
Hp,Pavilion,Intel Core i3,4GB,256GB SSD,Windows,14,705.0939999999999,4.4,71
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,15.6,493.87,4.3,990
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,558.87,4.4,158
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,558.87,4.3,681
Asus,VivoBook,Intel Core i3,4GB,512GB SSD,Windows,15.6,467.87,4.4,130
Redmibook,15,Intel Core i3,8GB,512GB SSD,Windows,15.6,558.87,4.3,1063
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14,558.87,4.3,30
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14,675.87,4.7,6
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,15.6,636.87,4.5,174
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14,558.87,4.5,40
Lenovo,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,506.87,3.9,13
Dell,Inspiron,Intel Core i3,8GB,512GB SSD,Windows,14.96,597.87,4.3,184
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,552.37,4.3,1296
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,571.61,4.3,571
Asus,Missing,Intel Core i3,4GB,512GB SSD,Windows,15.6,519.87,4.3,2551
Msi,Missing,Intel Core i3,8GB,512GB SSD,Windows,14,636.87,4.5,17
Hp,Pavilion,Intel Core i3,8GB,512GB SSD,Windows,14,714.87,4.5,35
Msi,Missing,Intel Core i3,8GB,512GB SSD,Windows,14,532.87,4.4,118
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14.1,545.87,0.0,0
Lenovo,IdeaPad,Intel Core i3,8GB,512GB SSD,Windows,14,714.87,4.5,245
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14,584.87,4.4,2058
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,536.25,4.1,117
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,14,584.87,0.0,0
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14,558.87,4.7,74
Dell,Missing,Intel Core i3,8GB,512GB SSD,Windows,14,790.27,4.4,10
Hp,Missing,Intel Core i3,8GB,512GB SSD,Windows,15.6,593.4499999999999,4.1,39
Dell,Vostro,Intel Core i3,8GB,512GB SSD,Windows,14,545.87,3.9,29
Dell,Inspiron,Intel Core i3,8GB,512GB SSD,Windows,15.6,591.37,4.2,43
Asus,VivoBook,Intel Core i3,8GB,512GB SSD,Windows,14.1,584.87,0.0,0
Lenovo,IdeaPad,Intel Core i3,8GB,512GB SSD,Windows,15.6,558.87,4.4,984
Hp,15s,Intel Core i3,4GB,512GB SSD,Windows,Missing,591.37,4.3,523
Hp,Missing,Intel Core i3,4GB,512GB SSD,Windows,Missing,504.387,4.4,30
Hp,Pavilion,Intel Core i3,4GB,512GB SSD,Windows,Missing,900.471,0.0,0
Asus,VivoBook,Intel Core i3,4GB,512GB SSD,Windows,Missing,671.437,0.0,0
Hp,Missing,Intel Core i3,4GB,512GB SSD,Windows,Missing,623.87,4.3,1605
Asus,VivoBook,Intel Core i3,4GB,512GB SSD,Windows,Missing,532.87,4.4,4008
Asus,Missing,Intel Core i3,4GB,512GB SSD,Windows,Missing,558.87,4.4,1869
Asus,VivoBook,Intel Core i3,4GB,512GB SSD,Windows,Missing,583.5699999999999,3.9,7
Asus,VivoBook,Intel Core i3,4GB,512GB SSD,Windows,Missing,539.37,4.4,4008
Hp,15s,Intel Core i3,4GB,512GB SSD,Windows,Missing,662.87,0.0,0
Hp,Missing,Intel Core i3,4GB,512GB SSD,Windows,Missing,635.6999999999999,4.3,1278
Dell,Vostro,Intel Core i3,4GB,512GB SSD,Windows,Missing,543.27,0.0,0
Lenovo,Ideapad,Intel Core i3,4GB,512GB SSD,Windows,Missing,753.987,3.4,10
Dell,Inspiron,Intel Core i3,8GB,512GB SSD,Windows,15.6,597.0899999999999,0.0,0
Hp,Pavilion,Intel Core i3,8GB,512GB SSD,Windows,14,721.37,4.3,143
Asus,VivoBook,Intel Core i3,8GB,1024GB HDD,Windows,14.1,427.57,3.9,28
Lenovo,IdeaPad,Intel Core i3,8GB,1024GB HDD,Windows,15.6,467.87,4.0,2124
Dell,Inspiron,Intel Core i3,8GB,1024GB HDD,Windows,15.6,552.37,4.0,276
Dell,Vostro,Intel Core i3,8GB,1024GB HDD,Windows,14,548.47,3.9,250
Dell,Vostro,Intel Core i3,8GB,1024GB HDD,Windows,14,513.37,4.0,1917
Hp,15s,Intel Core i3,8GB,1024GB HDD,Windows,15.6,567.97,4.1,4999
Asus,VivoBook,Intel Core i3,4GB,1024GB HDD,Windows,15.6,467.87,3.8,17
Dell,3000,Intel Core i3,8GB,1024GB HDD,Windows,15.6,569.4,4.2,17
Lenovo,Missing,Intel Core i3,8GB,1024GB HDD,Windows,15.6,506.87,0.0,0
Asus,VivoBook,Intel Core i3,4GB,1024GB HDD,Windows,15.6,454.87,3.7,4203
Asus,VivoBook,Intel Core i3,8GB,1024GB HDD,Windows,15.6,505.7,3.9,13
Dell,Inspiron,Intel Core i3,4GB,1024GB HDD,Windows,Missing,519.87,3.8,15
Dell,INSPIRON,Intel Core i3,4GB,1024GB HDD,Windows,Missing,531.5699999999999,4.0,527
Lenovo,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,480.87,3.7,103
Hp,15s,Intel Core i3,4GB,1024GB HDD,Windows,Missing,519.87,3.9,324
Hp,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,545.87,4.0,69
Dell,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,571.61,3.9,16
Hp,Notebook,Intel Core i3,4GB,1024GB HDD,Windows,Missing,517.27,3.9,40
Asus,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,462.66999999999996,3.4,12
Hp,14s,Intel Core i3,4GB,1024GB HDD,Windows,Missing,474.37,3.8,1146
Asus,VivoBook,Intel Core i3,4GB,1024GB HDD,Windows,Missing,506.87,4.0,1850
Asus,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,441.87,3.7,43
Dell,Inspiron,Intel Core i3,4GB,1024GB HDD,Windows,Missing,564.1999999999999,4.1,231
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,324.87,4.2,502
Hp,15s,Intel Core i3,4GB,1024GB HDD,Windows,Missing,529.75,4.1,1096
Dell,Inspiron,Intel Core i3,4GB,1024GB HDD,Windows,Missing,559.0,4.1,313
Asus,Vivo,Intel Core i3,4GB,1024GB HDD,Windows,Missing,494.0,4.7,7
Dell,Inspiron,Intel Core i3,8GB,1024GB HDD,Windows,14.96,493.87,3.7,265
Hp,DA,Intel Core i3,8GB,1024GB HDD,Windows,15.6,640.627,4.5,38
Lenovo,Missing,Intel Core i3,8GB,1024GB HDD,Windows,15.6,506.98699999999997,3.6,7
Asus,Missing,Intel Core i3,8GB,1024GB HDD,Windows,15.6,539.5,3.0,4
Acer,Missing,Intel Core i3,4GB,1024GB HDD,Windows,15.6,480.98699999999997,0.0,0
Dell,Missing,Intel Core i3,8GB,1024GB HDD,Windows,15.6,557.6999999999999,0.0,0
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,279.37,3.9,818
Dell,Insprion,Intel Core i3,8GB,1024GB HDD,Windows,15.6,539.24,3.8,25
Asus,VivoBook,Intel Core i3,8GB,1024GB HDD,Windows,15.6,428.87,2.0,12
Asus,VivoBook,Intel Core i3,8GB,1024GB HDD,Windows,15.6,502.84,3.2,17
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,311.87,4.1,974
Dell,Missing,Intel Core i3,8GB,1024GB HDD,Windows,14.96,525.0699999999999,3.2,83
Asus,VivoBook,Intel Core i3,4GB,1024GB HDD,Windows,14.1,441.87,3.4,31
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,266.37,3.9,637
Dell,Vostro,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,15.6,539.37,5.0,7
Dell,Inspiron,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,15.6,591.37,4.3,207
Dell,Inspiron,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,15.6,578.37,4.3,844
Asus,VivoBook,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,14.1,544.5699999999999,4.2,53
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,14,558.87,4.1,62
Acer,Travelmate,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,14,532.87,4.2,38
Dell,Inspiron,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,15.6,636.87,4.1,724
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,566.67,0.0,0
Dell,Inspiron,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,580.97,4.3,9
Asus,ExpertBook,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,532.87,0.0,0
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,571.87,0.0,0
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,538.0699999999999,4.2,56
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,575.77,0.0,0
Dell,Inspiron,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,636.987,0.0,0
Dell,Vostro,Intel Core i3,4GB,256GB SSD + 1024GB HDD,Windows,Missing,519.87,3.9,170
Dell,Missing,Intel Core i3,8GB,256GB SSD + 1024GB HDD,Windows,15.6,603.0699999999999,2.9,95
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,246.86999999999998,3.6,197
Asus,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,233.86999999999998,3.6,1180
Hp,14a,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,344.10999999999996,3.6,232
Hp,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,363.87,3.8,596
Lenovo,Celeron,Intel Celeron Dual,4GB,1024GB HDD,Windows,15.6,389.98699999999997,3.3,19
Lenovo,IdeaPad,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,337.87,3.7,84
Lenovo,IdeaPad,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,220.86999999999998,3.4,414
Lenovo,IdeaPad,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,324.87,2.8,70
Acer,Predator,Intel Core,4GB,512GB HDD,Windows,Missing,1299.87,4.5,1336
Acer,Aspire,Intel Core i5,8GB,512GB HDD,Windows,Missing,662.87,4.4,10966
Acer,Spin,Intel Core i5,8GB,512GB HDD,Windows,Missing,1559.87,4.0,1
Acer,Swift,Intel Core i5,8GB,512GB HDD,DOS,Missing,1224.47,4.3,31
Asus,ROG,Intel Core i5,8GB,512GB HDD,DOS,Missing,1380.171,4.5,1881
Dell,Missing,Intel Core i5,8GB,512GB HDD,DOS,Missing,885.17,1.6,23
Dell,XPS,Intel Core i5,8GB,512GB HDD,DOS,Missing,1819.87,0.0,0
Hp,15s,Intel Core i5,8GB,512GB HDD,DOS,Missing,727.87,4.0,818
Hp,Omen,Intel Core i5,8GB,512GB HDD,DOS,Missing,1333.163,0.0,0
Lenovo,Ideapad,Intel Core i5,8GB,512GB HDD,DOS,Missing,948.87,4.2,204
